ozone,solar_rad,wind,temp,month,Month
41,190,7.4,67,5,May
36,118,8,72,5,May
12,149,12.6,74,5,May
18,313,11.5,62,5,May
NA,NA,14.3,56,5,May
28,NA,14.9,66,5,May
23,299,8.6,65,5,May
19,99,13.8,59,5,May
8,19,20.1,61,5,May
NA,194,8.6,69,5,May
7,NA,6.9,74,5,May
16,256,9.7,69,5,May
11,290,9.2,66,5,May
14,274,10.9,68,5,May
18,65,13.2,58,5,May
14,334,11.5,64,5,May
34,307,12,66,5,May
6,78,18.4,57,5,May
30,322,11.5,68,5,May
11,44,9.7,62,5,May
1,8,9.7,59,5,May
11,320,16.6,73,5,May
4,25,9.7,61,5,May
32,92,12,61,5,May
NA,66,16.6,57,5,May
NA,266,14.9,58,5,May
NA,NA,8,57,5,May
23,13,12,67,5,May
45,252,14.9,81,5,May
115,223,5.7,79,5,May
37,279,7.4,76,5,May
NA,286,8.6,78,6,Jun
NA,287,9.7,74,6,Jun
NA,242,16.1,67,6,Jun
NA,186,9.2,84,6,Jun
NA,220,8.6,85,6,Jun
NA,264,14.3,79,6,Jun
29,127,9.7,82,6,Jun
NA,273,6.9,87,6,Jun
71,291,13.8,90,6,Jun
39,323,11.5,87,6,Jun
NA,259,10.9,93,6,Jun
NA,250,9.2,92,6,Jun
23,148,8,82,6,Jun
NA,332,13.8,80,6,Jun
NA,322,11.5,79,6,Jun
21,191,14.9,77,6,Jun
37,284,20.7,72,6,Jun
20,37,9.2,65,6,Jun
12,120,11.5,73,6,Jun
13,137,10.3,76,6,Jun
NA,150,6.3,77,6,Jun
NA,59,1.7,76,6,Jun
NA,91,4.6,76,6,Jun
NA,250,6.3,76,6,Jun
NA,135,8,75,6,Jun
NA,127,8,78,6,Jun
NA,47,10.3,73,6,Jun
NA,98,11.5,80,6,Jun
NA,31,14.9,77,6,Jun
NA,138,8,83,6,Jun
135,269,4.1,84,7,Jul
49,248,9.2,85,7,Jul
32,236,9.2,81,7,Jul
NA,101,10.9,84,7,Jul
64,175,4.6,83,7,Jul
40,314,10.9,83,7,Jul
77,276,5.1,88,7,Jul
97,267,6.3,92,7,Jul
97,272,5.7,92,7,Jul
85,175,7.4,89,7,Jul
NA,139,8.6,82,7,Jul
10,264,14.3,73,7,Jul
27,175,14.9,81,7,Jul
NA,291,14.9,91,7,Jul
7,48,14.3,80,7,Jul
48,260,6.9,81,7,Jul
35,274,10.3,82,7,Jul
61,285,6.3,84,7,Jul
79,187,5.1,87,7,Jul
63,220,11.5,85,7,Jul
16,7,6.9,74,7,Jul
NA,258,9.7,81,7,Jul
NA,295,11.5,82,7,Jul
80,294,8.6,86,7,Jul
108,223,8,85,7,Jul
20,81,8.6,82,7,Jul
52,82,12,86,7,Jul
82,213,7.4,88,7,Jul
50,275,7.4,86,7,Jul
64,253,7.4,83,7,Jul
59,254,9.2,81,7,Jul
39,83,6.9,81,8,Aug
9,24,13.8,81,8,Aug
16,77,7.4,82,8,Aug
78,NA,6.9,86,8,Aug
35,NA,7.4,85,8,Aug
66,NA,4.6,87,8,Aug
122,255,4,89,8,Aug
89,229,10.3,90,8,Aug
110,207,8,90,8,Aug
NA,222,8.6,92,8,Aug
NA,137,11.5,86,8,Aug
44,192,11.5,86,8,Aug
28,273,11.5,82,8,Aug
65,157,9.7,80,8,Aug
NA,64,11.5,79,8,Aug
22,71,10.3,77,8,Aug
59,51,6.3,79,8,Aug
23,115,7.4,76,8,Aug
31,244,10.9,78,8,Aug
44,190,10.3,78,8,Aug
21,259,15.5,77,8,Aug
9,36,14.3,72,8,Aug
NA,255,12.6,75,8,Aug
45,212,9.7,79,8,Aug
168,238,3.4,81,8,Aug
73,215,8,86,8,Aug
NA,153,5.7,88,8,Aug
76,203,9.7,97,8,Aug
118,225,2.3,94,8,Aug
84,237,6.3,96,8,Aug
85,188,6.3,94,8,Aug
96,167,6.9,91,9,Sep
78,197,5.1,92,9,Sep
73,183,2.8,93,9,Sep
91,189,4.6,93,9,Sep
47,95,7.4,87,9,Sep
32,92,15.5,84,9,Sep
20,252,10.9,80,9,Sep
23,220,10.3,78,9,Sep
21,230,10.9,75,9,Sep
24,259,9.7,73,9,Sep
44,236,14.9,81,9,Sep
21,259,15.5,76,9,Sep
28,238,6.3,77,9,Sep
9,24,10.9,71,9,Sep
13,112,11.5,71,9,Sep
46,237,6.9,78,9,Sep
18,224,13.8,67,9,Sep
13,27,10.3,76,9,Sep
24,238,10.3,68,9,Sep
16,201,8,82,9,Sep
13,238,12.6,64,9,Sep
23,14,9.2,71,9,Sep
36,139,10.3,81,9,Sep
7,49,10.3,69,9,Sep
14,20,16.6,63,9,Sep
30,193,6.9,70,9,Sep
NA,145,13.2,77,9,Sep
14,191,14.3,75,9,Sep
18,131,8,76,9,Sep
20,223,11.5,68,9,Sep
